mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,mean_train_r2,std_train_r2,overfitting_gap
561.5792981783549,2.2362496591735934,4.365176995595296,0.44757131493461677,300,5,10,,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__max_depth': None}",-1.106482640986523,-1.1211212097649734,-1.113042014139263,-1.113548621630253,0.0059868974899526415,24,-0.7711330800819194,-0.7595184767820478,-0.7612184176786877,-0.7639566581808849,0.005121732990518757,0.3872577386217213,0.3876101633459612,0.387346355853459,0.38740475260704715,0.00014968507426398484,24,0.5771722932183254,0.5806898729431509,0.5813808464627278,0.5797476708747347,0.0018427856912906384,0.1923429182676875
56.9076353708903,0.7247308622066663,3.172661304473877,0.09751730755304812,300,10,10,log2,15,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__max_depth': 15}",-1.2627933523781347,-1.28750313062386,-1.2761402783756979,-1.275478920459231,0.010098558674665241,75,-1.212639518190154,-1.2017762783256696,-1.2066193499766464,-1.20701171549749,0.004443568994610118,0.30069679746646794,0.2967273966571402,0.29757189570812526,0.2983320299439111,0.0017073153855460216,75,0.3350854737359884,0.3365310004127151,0.3364401606712999,0.3360188782733345,0.0006610577319260204,0.03768684832942337
74.63050413131714,0.337433373967201,3.136533578236898,0.19406525949590722,300,5,10,sqrt,15,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 15}",-1.2328019755221593,-1.2559368866556655,-1.2436292561035824,-1.2441227060938023,0.009451230888388496,69,-1.1640971349312752,-1.1518469457079006,-1.1562441824424599,-1.1573960876938785,0.005067014129531341,0.3173052677631135,0.3139698204192566,0.3154669940215019,0.31558069406795736,0.001364062076137188,69,0.3617022343512747,0.3640956686121277,0.3641431293629491,0.3633136774421171,0.001139627060923918,0.047732983374159765
80.58415460586548,2.2575295612173494,3.6322282950083413,0.12518148285309036,300,10,10,sqrt,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",-1.1817755794969393,-1.2032629092305436,-1.1936890086432874,-1.1929091657902569,0.008789480490022353,55,-1.047353027383844,-1.0380693909318826,-1.040407749020256,-1.041943389111994,0.003942513522408647,0.3455624026989139,0.34274191762902306,0.3429556909506921,0.3437533370928764,0.0012821761536479992,55,0.42571536587107617,0.42690925696810933,0.42784541057660197,0.42682334447192916,0.0008717064986314895,0.08307000737905273
672.5213396549225,3.585330860246549,5.905566930770874,0.7429365777163387,300,10,1,,25,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': 25}",-1.0759705957515493,-1.0881050847859448,-1.0808243906803208,-1.081633357072605,0.00498680097853993,13,-0.4574022857221806,-0.4402487087053638,-0.44350141214462485,-0.4470508021907231,0.007439082756741468,0.4041545419731819,0.4056445553517062,0.40507995814979814,0.4049596851582287,0.0006142117774954192,13,0.749197169017752,0.7569502946577651,0.7561039230885576,0.7540837955880249,0.0034725999516465374,0.34912411042979613
92.60138320922852,1.9621166221835333,5.14825701713562,0.30949037859651185,300,10,1,sqrt,25,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 25}",-1.1051609802984035,-1.1226456474511461,-1.1157274425897095,-1.1145113567797529,0.007189693775742821,27,-0.6795657149557262,-0.6718864467613075,-0.6740479917663773,-0.6751667178278037,0.0032333110996663464,0.3879896410744258,0.38677747002297924,0.38586821081907485,0.3868784406388266,0.0008690082013529531,27,0.6273805128011704,0.6290692063833703,0.6293187432101208,0.6285894874648872,0.0008609227453176964,0.2417110468260606
29.875175714492798,0.6931792099686949,1.478864034016927,0.0741583802484726,300,10,5,sqrt,5,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",-1.4467610167729594,-1.47677602189718,-1.4618931795284544,-1.4618100727328647,0.012253715442165577,90,-1.463853349341586,-1.4496115672831724,-1.4591551791380508,-1.4575400319209366,0.005925291241761974,0.1988201312394574,0.19334089931828002,0.19532760451662523,0.19582954502478755,0.0022648699472321426,90,0.19733990052531147,0.1997076713184286,0.19756236609066025,0.1982033126448001,0.001067612287968635,0.00237376762001254
84.63091627756755,0.6814749003525099,4.228761672973633,0.089251332622782,300,5,5,sqrt,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",-1.1408146983786156,-1.1600089772978506,-1.1506620989305079,-1.1504952582023247,0.00783691957675474,44,-0.8898598810080126,-0.8828602348979233,-0.8832884641532326,-0.8853361933530562,0.003203504078711274,0.3682455086011548,0.36636850508468255,0.3666390674064173,0.3670843603640848,0.0008284523377252141,44,0.5120720112231977,0.5125961400742611,0.5142504955139686,0.5129728822704758,0.0009284034550741537,0.14588852190639096
86.05643630027771,0.9720569393655711,4.144943793614705,0.15795181075639442,300,2,5,sqrt,25,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__max_depth': 25}",-1.1501081493204908,-1.1695084973390037,-1.1633183372546771,-1.1609783279713906,0.008091151891387517,48,-0.9220741126507949,-0.9144896345052277,-0.9183115326603475,-0.9182917599387901,0.003096381803065729,0.3630990291759958,0.3611795839621278,0.35967267221918287,0.3613170951191022,0.0014021798476168937,48,0.49440830304742556,0.4951343824297838,0.49499015320980366,0.4948442795623376,0.0003138546990144822,0.1335271844432354
64.28428610165913,1.9101778504676339,3.371847073237101,0.22295703504168982,300,5,10,log2,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__max_depth': None}",-1.2135341905197476,-1.2360562402694142,-1.2266870679961333,-1.2254258329284318,0.009237738419245762,61,-1.1131243824547559,-1.103237343825519,-1.1075761511359115,-1.1079792924720622,0.004046420262955943,0.3279752825620822,0.32482922231711675,0.3247925119731955,0.3258656722841315,0.0014917950162950655,61,0.3896516150673853,0.3909317482659651,0.390907287450454,0.3904968835946015,0.0005977785237585841,0.06463121131047
