mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__gamma,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,mean_train_r2,std_train_r2,overfitting_gap
3.5262014071146646,0.028516992428610402,0.35487620035807294,0.02652087400151452,2.0,0.1,100,2,3,0.05,1.0,"{'clf__reg_lambda': 2, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 2, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__gamma': 1}",-1.3449550734315074,-1.3739959476328534,-1.3566654860267433,-1.3585388356970345,0.011929659755835051,86,-1.358931680658827,-1.3445037988903514,-1.3506584809668614,-1.3513646535053467,0.0059112859752544645,0.2551977025036324,0.24948244078748094,0.2532482661538349,0.25264280314831605,0.0023721991497786033,86,0.25487055211676535,0.25773489918283077,0.2572282844331454,0.25661124524424717,0.0012481116534446537,0.003968442095931113
6.757371107737224,0.09365837579629245,0.5597105026245117,0.020165735536961004,1.0,0.01,100,3,9,0.05,0.0,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 100, 'clf__min_child_weight': 3, 'clf__max_depth': 9, 'clf__learning_rate': 0.05, 'clf__gamma': 0}",-1.150364731683204,-1.167215795160372,-1.1590064796801753,-1.1588623355079173,0.006880172877415436,28,-0.9723769112308588,-0.9680707984559652,-0.9664445544711492,-0.9689640880526578,0.0025028901838724167,0.3629569403159134,0.3624319262605693,0.36204605545404867,0.3624783073435105,0.00037331060484506787,28,0.46682627146599043,0.46555363442846187,0.4685202145172088,0.466966706803887,0.0012151655357289304,0.10448839946037652
4.248915990193685,0.20864738899560775,0.492345650990804,0.025784328038955213,1.0,0.0,100,3,6,0.1,0.1,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0, 'clf__n_estimators': 100, 'clf__min_child_weight': 3, 'clf__max_depth': 6, 'clf__learning_rate': 0.1, 'clf__gamma': 0.1}",-1.1894784217102727,-1.2120368763943599,-1.204268600040841,-1.2019279660484912,0.009356990080437562,49,-1.121972805270335,-1.1129002018488179,-1.1168493657204044,-1.117240790946519,0.0037142018875087612,0.34129676238789197,0.3379493151240863,0.3371323481289884,0.3387928085469889,0.0018017024163828627,49,0.3847998476819834,0.38559713910326465,0.3858076404243511,0.38540154240319974,0.0004340546084687856,0.04660873385621084
7.1421533425649,0.28743292341552346,0.699921449025472,0.12402085889953268,1.5,0.1,100,1,9,0.1,0.0,"{'clf__reg_lambda': 1.5, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 9, 'clf__learning_rate': 0.1, 'clf__gamma': 0}",-1.1230813886074904,-1.1367221468192454,-1.1298784162974882,-1.1298939839080746,0.00556882710037252,2,-0.8555416257964841,-0.8396614646366475,-0.8390479980849267,-0.8447503628393527,0.007634684121821328,0.3780657696051529,0.37908846630633564,0.378079065845067,0.3784111005855186,0.00047900065226297214,2,0.5308893976466894,0.5364450422414602,0.5385797892192951,0.535304743035815,0.003241475213931403,0.1568936424502964
3.8433024088541665,0.08006687696715899,0.39359410603841144,0.0471802330040732,5.0,0.0,100,2,3,0.3,1.0,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0, 'clf__n_estimators': 100, 'clf__min_child_weight': 2, 'clf__max_depth': 3, 'clf__learning_rate': 0.3, 'clf__gamma': 1}",-1.2448253905488273,-1.2716258217219711,-1.2618947434872705,-1.2594486519193564,0.011077102531365318,75,-1.2353329272841884,-1.225644276234638,-1.2312628781631447,-1.2307466938939904,0.003972180294647628,0.31064700287938996,0.3054000562413539,0.3054130901566213,0.30715338309245505,0.0024703679729254973,75,0.322642223181532,0.32335410802399434,0.32288787046126677,0.3229614005555977,0.00029524003038334466,0.015808017463142643
4.049585739771525,0.20118832935424452,0.5041024684906006,0.10353501644663919,5.0,0.1,100,1,6,0.3,1.0,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__learning_rate': 0.3, 'clf__gamma': 1}",-1.164770895734944,-1.1874914060363548,-1.1792079198013234,-1.1771567405242076,0.009388322512897982,45,-1.0457803878365022,-1.027895260291371,-1.031010637133272,-1.0348954284203815,0.0078012028702718365,0.3549791689421308,0.3513567829805605,0.3509265417699219,0.35242083123087103,0.0018175250128445123,45,0.4265776756209395,0.4325261262635618,0.4330131928220977,0.43070566490219964,0.0029256942296100254,0.0782848336713286
4.888903935750325,0.36765674256682,0.5531057516733805,0.05116914729634939,5.0,0.0,100,2,6,0.3,0.1,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0, 'clf__n_estimators': 100, 'clf__min_child_weight': 2, 'clf__max_depth': 6, 'clf__learning_rate': 0.3, 'clf__gamma': 0.1}",-1.1525492520933764,-1.1789997604754383,-1.161799263251862,-1.1644494252735589,0.010959770906161468,38,-0.9813658261539552,-0.9683233336063514,-0.9636882250066187,-0.9711257949223083,0.007483971211937108,0.36174720784784453,0.35599517300715156,0.36050881875429164,0.3594170665364292,0.002471897837835276,38,0.4618974694452229,0.4654142164297802,0.4700360111407723,0.46578256567192516,0.0033327392242908905,0.10636549913549598
4.795273303985596,0.25654210112704856,0.6207485198974609,0.13021497465229998,1.0,0.1,100,2,6,0.05,1.0,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 2, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__gamma': 1}",-1.224458631379608,-1.2520109199246072,-1.243133087676882,-1.2398675463270326,0.011482739837030981,58,-1.1894345714943948,-1.1877037749301267,-1.1908929092375962,-1.1893437518873726,0.0013035414732014887,0.32192560193555564,0.31611430052024925,0.3157401008682038,0.31792666777466955,0.002831797092804489,58,0.3478092105990426,0.34430005852937007,0.3450886499319922,0.3457326396868016,0.0015032363232364895,0.027805971912132077
4.606527964274089,0.30659632088807703,0.8478856881459554,0.5837073056353013,1.0,0.01,100,3,6,0.3,0.5,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 100, 'clf__min_child_weight': 3, 'clf__max_depth': 6, 'clf__learning_rate': 0.3, 'clf__gamma': 0.5}",-1.15699521092578,-1.1766657415864614,-1.1613075741531502,-1.1649895088884639,0.008441955802795715,40,-0.9591886464742841,-0.9718567944536655,-0.9423971522357943,-0.9578141977212479,0.012066053260622978,0.35928514765091923,0.3572700837248497,0.36077946003672856,0.3591115638041658,0.001437945070458629,40,0.4740576610762761,0.4634634858522766,0.48174467537462307,0.4730886074343919,0.007494654597717157,0.1139770436302261
9.558566252390543,0.106039978167496,0.7017624378204346,0.12938005922822807,1.5,0.0,100,3,9,0.05,0.5,"{'clf__reg_lambda': 1.5, 'clf__reg_alpha': 0, 'clf__n_estimators': 100, 'clf__min_child_weight': 3, 'clf__max_depth': 9, 'clf__learning_rate': 0.05, 'clf__gamma': 0.5}",-1.1491502317541076,-1.1666812695987936,-1.159685334199876,-1.1585056118509256,0.007205466933443106,25,-0.9802658303206954,-0.9746614977639169,-0.9727730501928267,-0.9759001260924797,0.0031818326598974,0.3636294998350893,0.3627239000618776,0.36167239238467963,0.3626752640938822,0.0007997255721597655,25,0.46250061918378327,0.46191508309799345,0.46503996566793426,0.4631518893165703,0.00135630315155458,0.10047662522268813
