id,title,startYear,runtimeMinutes,numVotes,countryOfOrigin,awardsOrNominations,awards,nominations
tt1109624,Paddington,2014,95,149777,"GB,FR",True,3.0,7.0
tt11084896,Spirit Untamed,2021,88,5234,"US,GB",True,1.0,9.0
tt11057302,Madame Web,2024,116,105718,"US,MX,CA",True,6.0,7.0
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117,88314,JP,True,6.0,6.0
tt11128440,Clerks III,2022,100,20952,US,False,0.0,0.0
tt11125620,The Addams Family 2,2021,93,17057,"US,CA,VN,FR,GB",True,2.0,3.0
tt11138512,The Northman,2022,137,285143,"GB,CN,US",True,5.0,54.0
tt11229780,Infidel,2019,108,4103,US,True,0.0,1.0
tt11245972,Scream,2022,114,177288,US,True,5.0,20.0
tt11152168,IF,2024,104,60926,"CA,US",True,0.0,7.0
tt11169050,Supernova,2020,95,15702,GB,True,3.0,10.0
tt11214590,House of Gucci,2021,158,170105,"US,CA,GB",True,17.0,79.0
tt11271038,Licorice Pizza,2021,133,150524,"US,CA",True,61.0,197.0
tt1126590,Big Eyes,2014,106,103029,"US,CA",True,3.0,18.0
tt11252248,Dog,2022,101,50166,US,True,2.0,1.0
tt11145118,Creed III,2023,116,102453,US,True,2.0,26.0
tt11285280,Together Together,2021,90,9822,US,True,2.0,8.0
tt11304740,Wish,2023,95,47972,US,True,1.0,22.0
tt11349958,Merci pour tout,2019,99,317,CA,True,0.0,2.0
tt7378922,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,118,14873,US,True,74.0,44.0
tt11466222,Jackass Forever,2022,96,53848,US,True,3.0,5.0
tt11614912,She Dies Tomorrow,2020,86,7685,US,True,0.0,8.0
tt1170358,The Hobbit: The Desolation of Smaug,2013,161,737310,"NZ,US",True,19.0,90.0
tt1137450,Death Wish,2018,107,79996,"US,CA",True,0.0,4.0
tt11389872,Kingdom of the Planet of the Apes,2024,145,158504,US,True,4.0,62.0
tt11535358,Family Camp,2022,111,3035,US,True,1.0,1.0
tt1160419,Dune: Part One,2021,155,972425,"US,CA",True,175.0,298.0
tt11762114,Mean Girls,2024,112,38448,US,True,1.0,5.0
tt11832046,PAW Patrol: The Movie,2021,86,9191,"CA,US",True,3.0,4.0
tt11729298,American Underdog,2021,112,26808,US,False,0.0,0.0
tt11813216,The Banshees of Inisherin,2022,114,283578,"IE,GB,US",True,150.0,374.0
tt1200263,The Color Purple,2023,141,19573,US,True,39.0,99.0
tt11858890,The Creator,2023,133,189051,US,True,13.0,47.0
tt11790780,The Alpinist,2021,92,16166,US,True,2.0,2.0
tt1179933,10 Cloverfield Lane,2016,103,375012,US,True,16.0,48.0
tt1204977,Ouija,2014,89,60528,"JP,US",True,1.0,0.0
tt12003946,Violent Night,2022,112,115090,"CA,US",True,1.0,3.0
tt1213641,First Man,2018,141,211869,"CN,JP,US",True,32.0,192.0
tt12193804,Whitney Houston: I Wanna Dance with Somebody,2022,144,26080,US,True,1.0,7.0
tt1219827,Ghost in the Shell,2017,107,236008,"US,IN,HK,CN,CA",True,3.0,6.0
tt1206885,Rambo: Last Blood,2019,89,116479,"US,HK,FR,BG,ES,SE,PT",True,4.0,8.0
tt1226837,Beautiful Boy,2018,120,118443,US,True,10.0,31.0
tt1211837,Doctor Strange,2016,115,854485,"US,HK,NP",True,21.0,68.0
tt1205537,Jack Ryan: Shadow Recruit,2014,105,141284,"US,RU,GB",True,0.0,3.0
tt12261776,65,2023,93,102240,"US,IE,AU,CA",True,0.0,1.0
tt1212428,The Lost City of Z,2016,141,103658,US,True,5.0,31.0
tt1229340,Anchorman 2: The Legend Continues,2013,119,198708,US,True,1.0,23.0
tt1255919,Holmes & Watson,2018,90,41032,"US,CA",True,4.0,4.0
tt12584954,Twisters,2024,122,181519,"JP,US",True,0.0,36.0
tt12593682,Bullet Train,2022,127,504139,"US,JP",True,2.0,19.0
tt1234721,RoboCop,2014,117,246099,"US,CA",True,4.0,1.0
tt1230168,Same Kind of Different as Me,2017,119,9004,US,True,1.0,1.0
tt1270797,Venom,2018,112,586517,"US,CN",True,2.0,9.0
tt1259528,Den of Thieves,2018,140,147622,US,True,0.0,1.0
tt1267297,Hercules,2014,98,169215,"HU,US",True,0.0,2.0
tt1253863,300: Rise of an Empire,2014,102,325093,"US,BG",True,2.0,7.0
tt12412888,Sonic the Hedgehog 2,2022,122,110116,"US,JP,GB",True,2.0,3.0
tt12758486,Chevalier,2022,108,7749,US,True,1.0,7.0
tt12873300,Sight,2023,103,1813,US,True,8.0,4.0
tt12789558,Belfast,2021,98,98782,GB,True,63.0,259.0
tt1291150,Teenage Mutant Ninja Turtles,2014,101,226465,US,True,1.0,11.0
tt12873562,The Invitation,2022,105,39187,"US,HU",True,1.0,3.0
tt12844910,Pathaan,2023,146,162442,IN,True,11.0,57.0
tt1285009,The Strangers: Prey at Night,2018,85,38520,"GB,US",False,0.0,0.0
tt1293847,xXx: Return of Xander Cage,2017,107,100244,"CN,CA,US",True,2.0,7.0
tt1292566,How to Be Single,2016,110,97655,US,True,0.0,3.0
tt12921446,The Exorcist: Believer,2023,111,48299,US,True,1.0,22.0
tt13087796,I'm Your Man,2021,108,14492,DE,True,10.0,15.0
tt1298644,The Hustle,2019,93,69653,"US,ES",True,3.0,4.0
tt12971924,The Call,2020,97,5555,"US,CA",False,0.0,0.0
tt13204490,Petite Maman,2021,73,19862,FR,True,9.0,37.0
