mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__num_leaves,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__boosting_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,split1_train_recall_macro,split2_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,overfitting_gap
65.99461563428243,8.8286424791507,3.600045839945475,0.05789782373992892,0.0,1.0,40,100,12,0.03,gbdt,"{'clf__reg_lambda': 0, 'clf__reg_alpha': 1, 'clf__num_leaves': np.int64(40), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(12), 'clf__learning_rate': 0.03, 'clf__boosting_type': 'gbdt'}",0.41581632653061223,0.41492776886035315,0.4164755789956432,0.41573989146220286,0.0006341980728913758,30,0.45293510662692044,0.45396698005044717,0.45425361155698235,0.45371856607811667,0.000566213115876677,0.24217890794258284,0.2374653509466119,0.22403111825706173,0.23455845904875217,0.007688653241275246,25,0.3902846025902465,0.4074559210621179,0.4164721250637429,0.4047375495720358,0.01086243499385347,0.44014103063363236,0.42567554470982716,0.4019723404998231,0.42259630528109415,0.015733690247942144,53,0.6539809449440211,0.6673710344376458,0.6682927681059571,0.663214915829208,0.006540237608842838,0.21885739636664198,0.2133326571323273,0.20299741624245957,0.21172915658047628,0.006573337706204013,24,0.3369447815560574,0.3567734388619394,0.36220182380682264,0.3519733480749398,0.010855419521658725,0.17017909052328362
40.224621295928955,1.0104261950914144,5.452491044998169,3.0139206933994256,1.0,1.0,40,100,9,0.1,goss,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 1, 'clf__num_leaves': np.int64(40), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(9), 'clf__learning_rate': 0.1, 'clf__boosting_type': 'goss'}",0.41375257968355883,0.41352327447833065,0.4138958954368264,0.41372391653290524,0.00015346612401790247,35,0.5035398991057097,0.5035542306810364,0.5047437514331575,0.5039459604066345,0.0005641537851881975,0.26039657956393697,0.2561511447041031,0.23001332894470247,0.24885368440424752,0.013434412892984438,14,0.5074936316378416,0.49474121397031023,0.5127061836287446,0.5049803430789654,0.007546411873301127,0.42005750482497584,0.37499080716046185,0.3011024524299116,0.3653835881384498,0.04903604195270251,75,0.6373918254043208,0.6387302991344124,0.6462179497067017,0.6407800247484783,0.0038838253367856966,0.2293567397956459,0.22783285635527353,0.2118657284377201,0.2230184415295465,0.007910659987906916,14,0.4448845317720533,0.4283540479056304,0.44690352165149905,0.4400473671097276,0.008309406939928855,0.25612665867471796
149.86340363820395,17.55513337163632,6.0717512766520185,0.6319521844467128,0.01,0.01,90,100,12,0.05,goss,"{'clf__reg_lambda': 0.01, 'clf__reg_alpha': 0.01, 'clf__num_leaves': np.int64(90), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(12), 'clf__learning_rate': 0.05, 'clf__boosting_type': 'goss'}",0.42298211419399223,0.42203623022242603,0.4243866085760147,0.423134984330811,0.0009656074289629834,12,0.5428657418023389,0.5430807154322403,0.5408163265306123,0.5422542612550639,0.0010205539734954238,0.2688394338306314,0.2606766425889423,0.23051182455085167,0.2533426336568085,0.016484177737825418,10,0.5480072032504009,0.5543847109498679,0.5583580721171243,0.5535833287724644,0.004263549508701335,0.4134828596658859,0.3922746551654375,0.3148034779857382,0.37352033093902054,0.04241225137532978,69,0.717061942696171,0.7284195354016214,0.7325414094237928,0.7260076291738619,0.006545555300177216,0.23656065440762708,0.23190902855148604,0.2119402232667531,0.22680330207528873,0.010679973143784455,9,0.4690801296638347,0.47475962377957553,0.4768504099056486,0.4735633877830196,0.003283042204893995,0.30024069511565593
61.89538160959879,1.8051708433191072,3.4023423989613852,0.9593785764681806,1.0,0.0,60,100,5,0.03,dart,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0, 'clf__num_leaves': np.int64(60), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(5), 'clf__learning_rate': 0.03, 'clf__boosting_type': 'dart'}",0.39569479477184133,0.39732859435909196,0.39153863792708093,0.39485400901933804,0.0024373605098351515,84,0.40588454482916764,0.40402144003668883,0.4032188718183903,0.40437495222808223,0.0011165964064049107,0.16769580988410565,0.144568205429268,0.13948778136028211,0.15058393222455194,0.012276398629262393,88,0.18818205274652144,0.17402714042998768,0.163880947645274,0.1753633802739277,0.009965777440015013,0.49580230529324903,0.34002151100711275,0.31811015257139125,0.3846446562905843,0.07910770761425787,67,0.5995754428630339,0.6287389670177197,0.48333196921395516,0.5705487930315695,0.06281034178596616,0.16509205597754048,0.15306003723953038,0.14892733685505985,0.1556931433573769,0.006856844363993947,88,0.17771396947427076,0.169785687086297,0.1638148229555627,0.17043815983871013,0.005693028427038913,0.024779448049375763
49.09824307759603,3.4501496416778057,4.339799006779988,0.830512061724322,0.01,0.1,20,100,8,0.05,goss,"{'clf__reg_lambda': 0.01, 'clf__reg_alpha': 0.1, 'clf__num_leaves': np.int64(20), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(8), 'clf__learning_rate': 0.05, 'clf__boosting_type': 'goss'}",0.4145838110525109,0.4118608117404265,0.40930979133226325,0.41191813804173355,0.002153491077453299,40,0.44652889245585875,0.4444508140334786,0.4429030038981885,0.44462757012917525,0.0014855299831340759,0.23985310962639192,0.22166495773955042,0.21027366190201185,0.22393057642265143,0.01218156265106535,36,0.351897973937454,0.343675143306814,0.36735589940896307,0.3543096722177437,0.009816882357745834,0.35842675377599276,0.33024611461820325,0.3493427562381029,0.3460052082107663,0.01174426174667069,81,0.5291463867563702,0.52558657316981,0.5617133684955187,0.5388154428072329,0.01625636939402434,0.2191334203279624,0.20469855264636724,0.1957862666110733,0.20653941319513427,0.009619908951059691,32,0.30928620555846387,0.2988475536390448,0.3167618182049998,0.30829852580083617,0.007346738605779597,0.13037909579509224
117.64283426602681,3.738864869702999,6.1195080280303955,0.3729000459074602,0.0,0.01,40,100,-1,0.05,dart,"{'clf__reg_lambda': 0, 'clf__reg_alpha': 0.01, 'clf__num_leaves': np.int64(40), 'clf__n_estimators': 100, 'clf__max_depth': -1, 'clf__learning_rate': 0.05, 'clf__boosting_type': 'dart'}",0.4104849805090576,0.4123480853015363,0.4131506535198349,0.4119945731101429,0.0011165964064048855,39,0.440008025682183,0.4409682412290759,0.44167048842008716,0.4408822517771154,0.0006814157948058362,0.22641112463858376,0.21809577922346124,0.21007049531415292,0.218192466392066,0.006671384313421108,40,0.37433260253976597,0.3701468060338838,0.3848859205673871,0.37645510971367896,0.006201567104929529,0.4948332582277667,0.41441079466902125,0.40046146348350475,0.4365685054600976,0.041591121019107044,40,0.6611770445366285,0.6750484202446886,0.6608932997939679,0.6657062548584284,0.006606924062321593,0.20240389148962734,0.20259232169266408,0.19472296836841946,0.19990639385023692,0.0036660424874352254,41,0.33275288151741356,0.32841477124396257,0.3382931979652099,0.333153616908862,0.004042793610218298,0.15826264332161297
198.00842189788818,8.478282618979943,4.787447849909465,1.367499833415213,1.0,0.01,70,100,8,0.05,dart,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0.01, 'clf__num_leaves': np.int64(70), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(8), 'clf__learning_rate': 0.05, 'clf__boosting_type': 'dart'}",0.416188947489108,0.4129500114652603,0.41584498968126576,0.4149946495452113,0.0014525805547102278,32,0.4522185278605824,0.45164526484751205,0.45257681724375143,0.45214686998394865,0.0003836653100447302,0.2303292858619374,0.21293129632152033,0.21130670622054745,0.21818909613466841,0.00860999334918871,41,0.3011106206843475,0.311055506764614,0.3145657147899803,0.3089106140796473,0.00569855612240951,0.5213061413567773,0.5085847816225996,0.4762582552150483,0.5020497260648084,0.018962387768371176,13,0.6827932924558793,0.6838371093371831,0.6710104112542202,0.6792136043490942,0.00581616546843163,0.20549427076052446,0.19466299718831317,0.1930920547178279,0.19774977422222184,0.0055136125504808235,43,0.25240686742751695,0.2602270369850518,0.2619566434227395,0.25819684927843606,0.004154579961344058,0.0907215179449789
224.83912547429404,19.9024936752878,3.240845282872518,0.24019284001608868,0.1,0.01,60,100,12,0.05,dart,"{'clf__reg_lambda': 0.1, 'clf__reg_alpha': 0.01, 'clf__num_leaves': np.int64(60), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(12), 'clf__learning_rate': 0.05, 'clf__boosting_type': 'dart'}",0.41727814721394174,0.4181953680348544,0.4185106626920431,0.4179947259802798,0.0005227915623444473,24,0.45924099977069477,0.46037319422150885,0.4599145838110525,0.4598429259344187,0.000464985452873742,0.2455086193039559,0.233705560293608,0.21192767818763336,0.23038061926173245,0.013909500978673241,29,0.40732203515999793,0.4091184602298039,0.42375359212866465,0.41339802917282215,0.007359123537359128,0.5064052254550494,0.4530047566391831,0.38818361443089894,0.4491978655083772,0.0483387811413551,35,0.6840845232740305,0.701141861650608,0.6900144611939304,0.6917469487061897,0.007070564940105172,0.21564090719341072,0.21082026169527118,0.19569914222087026,0.20738677036985073,0.00849549467134644,31,0.3589314732056389,0.3591290348297944,0.3690040142140846,0.3623548407498393,0.00470236738016448,0.1830174099110897
62.63458514213562,9.718952755892577,3.7953672409057617,0.7760331961987812,0.0,0.1,70,100,4,0.1,dart,"{'clf__reg_lambda': 0, 'clf__reg_alpha': 0.1, 'clf__num_leaves': np.int64(70), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(4), 'clf__learning_rate': 0.1, 'clf__boosting_type': 'dart'}",0.3997076358633341,0.3997076358633341,0.398102499426737,0.39917259038446834,0.0007566685726982796,73,0.4149707635863334,0.4141538637927081,0.4128066957119927,0.41397710769701135,0.000892274053271686,0.1699116350506575,0.1522710706928946,0.16208737793532607,0.16142336122629272,0.007217019992466895,81,0.22132140748345314,0.19726431321388865,0.22942075211031526,0.21600215760255237,0.013656011010943174,0.3887678535841736,0.2974007433246863,0.3527456085529693,0.34630473515394306,0.037577483035270295,80,0.5638658754720451,0.48778470268301277,0.5249194760165615,0.5255233513905399,0.031062943757679318,0.16867872414060306,0.15783991993288587,0.16422976659356842,0.1635828035556858,0.004448508367426597,78,0.20004931731333375,0.1876678239282403,0.2086538972202899,0.19879034615395466,0.008613654831716545,0.05457879637625965
185.77599064509073,5.472479340517438,3.7219104766845703,0.3746949574399276,0.0,0.1,70,100,10,0.01,goss,"{'clf__reg_lambda': 0, 'clf__reg_alpha': 0.1, 'clf__num_leaves': np.int64(70), 'clf__n_estimators': 100, 'clf__max_depth': np.int64(10), 'clf__learning_rate': 0.01, 'clf__boosting_type': 'goss'}",0.4043224031185508,0.408249254758083,0.4058128869525338,0.40612818160972247,0.0016185588219901103,54,0.4320253382251777,0.43185335932125657,0.4304488649392341,0.43144252082855616,0.0007061200113468469,0.20846719610789216,0.20746907673186077,0.1907045890385509,0.20221362062610126,0.008148309298442496,49,0.351887192977033,0.34551670077959773,0.3609438813257741,0.35278259169413495,0.006329864614035147,0.5633631543734249,0.49909816888510106,0.47588795721557914,0.5127830934913684,0.03699941801848971,6,0.7061176044573418,0.7195635223636432,0.7117479412417836,0.712476356020923,0.0055133848135605484,0.18942596778949078,0.19205504570739385,0.1793178668491469,0.18693296011534385,0.005490613005500679,55,0.31043152659584167,0.30872627853380624,0.32320376465071965,0.3141205232601225,0.0064604397867927205,0.15056897106803369
