mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,overfitting_gap
96.86472940444946,0.0,1.3124256134033203,0.0,0.01,"(128,)",0.01,tanh,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.931591267376869,0.931591267376869,0.0,11,0.9447277591334153,0.9447277591334153,0.0,0.7397860248643587,0.7397860248643587,0.0,2,0.7858228089636512,0.7858228089636512,0.0,0.7897800646537637,0.7897800646537637,0.0,8,0.841323950987935,0.841323950987935,0.0,0.7123304500228935,0.7123304500228935,0.0,6,0.7599523578158974,0.7599523578158974,0.0,0.04603678409929246
242.87696051597595,0.0,1.0545496940612793,0.0,0.0001,"(128,)",0.0001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.9331677256007261,0.9331677256007261,0.0,3,0.938983172301776,0.938983172301776,0.0,0.714805526558778,0.714805526558778,0.0,12,0.7450132474206564,0.7450132474206564,0.0,0.8447132647069238,0.8447132647069238,0.0,1,0.8487722374670053,0.8487722374670053,0.0,0.6882603677496769,0.6882603677496769,0.0,17,0.7137113939273894,0.7137113939273894,0.0,0.030207720861878395
164.10424280166626,0.0,0.8392031192779541,0.0,0.0001,"(64,)",0.01,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64,), 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.930683609611618,0.930683609611618,0.0,15,0.9349703216252045,0.9349703216252045,0.0,0.6996164831730004,0.6996164831730004,0.0,20,0.7199946552936499,0.7199946552936499,0.0,0.7323681886935869,0.7323681886935869,0.0,20,0.8498214294489745,0.8498214294489745,0.0,0.6767942306718016,0.6767942306718016,0.0,21,0.6905771332062246,0.6905771332062246,0.0,0.020378172120649518
119.53011560440063,0.0,1.0855271816253662,0.0,0.01,"(128,)",0.01,relu,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.01, 'clf__activation': 'relu'}",0.9321645249128171,0.9321645249128171,0.0,8,0.9507112061243744,0.9507112061243744,0.0,0.7288548964737784,0.7288548964737784,0.0,7,0.8045012822604816,0.8045012822604816,0.0,0.7530795264519411,0.7530795264519411,0.0,15,0.8398972076040941,0.8398972076040941,0.0,0.7150103058233743,0.7150103058233743,0.0,4,0.7860333228335856,0.7860333228335856,0.0,0.07564638578670313
49.93665528297424,0.0,0.7374429702758789,0.0,0.01,"(32,)",0.001,relu,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (32,), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.931400181531553,0.931400181531553,0.0,13,0.9409179395922657,0.9409179395922657,0.0,0.7131984301292043,0.7131984301292043,0.0,15,0.7484645348127725,0.7484645348127725,0.0,0.7346683051420971,0.7346683051420971,0.0,18,0.8464030436118873,0.8464030436118873,0.0,0.7011619460471554,0.7011619460471554,0.0,12,0.7322440467554541,0.7322440467554541,0.0,0.03526610468356828
48.52144765853882,0.0,0.6921565532684326,0.0,0.01,"(32,)",0.0001,relu,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (32,), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.9322600678354751,0.9322600678354751,0.0,7,0.9405835353692181,0.9405835353692181,0.0,0.734976153099692,0.734976153099692,0.0,3,0.7578436964646463,0.7578436964646463,0.0,0.8118591548642362,0.8118591548642362,0.0,5,0.8475200065276708,0.8475200065276708,0.0,0.7108702078616413,0.7108702078616413,0.0,7,0.7344885444430858,0.7344885444430858,0.0,0.022867543364954335
93.83815598487854,0.0,1.0240082740783691,0.0,0.01,"(64,)",0.0001,tanh,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (64,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.9222758324177136,0.9222758324177136,0.0,24,0.9586174773978574,0.9586174773978574,0.0,0.6988286578566181,0.6988286578566181,0.0,22,0.840529223549433,0.840529223549433,0.0,0.7232964854259026,0.7232964854259026,0.0,23,0.899188339539488,0.899188339539488,0.0,0.6888872859201282,0.6888872859201282,0.0,16,0.8176243410257381,0.8176243410257381,0.0,0.14170056569281497
242.93138575553894,0.0,1.0828132629394531,0.0,0.0001,"(128,)",0.001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.9329288682940812,0.9329288682940812,0.0,4,0.9387204261265242,0.9387204261265242,0.0,0.714033853672782,0.714033853672782,0.0,14,0.743921897419751,0.743921897419751,0.0,0.8439759055479827,0.8439759055479827,0.0,2,0.8482582085308431,0.8482582085308431,0.0,0.6874116093740392,0.6874116093740392,0.0,18,0.712288900627286,0.712288900627286,0.0,0.029888043746968962
133.37407040596008,0.0,0.8876910209655762,0.0,0.0001,"(32,)",0.01,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (32,), 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.9273396073185879,0.9273396073185879,0.0,20,0.9306827817654154,0.9306827817654154,0.0,0.6977962581604831,0.6977962581604831,0.0,23,0.7069981333301508,0.7069981333301508,0.0,0.7624370440136139,0.7624370440136139,0.0,13,0.8199006780594639,0.8199006780594639,0.0,0.6702756204156524,0.6702756204156524,0.0,24,0.6785600239764491,0.6785600239764491,0.0,0.00920187516966775
174.42972874641418,0.0,0.9685976505279541,0.0,0.0001,"(64,)",0.0001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.931209095686237,0.931209095686237,0.0,14,0.9358302181987556,0.9358302181987556,0.0,0.7017379452985656,0.7017379452985656,0.0,19,0.7287048564736267,0.7287048564736267,0.0,0.7329056615550581,0.7329056615550581,0.0,19,0.8427095614793025,0.8427095614793025,0.0,0.6798114969226613,0.6798114969226613,0.0,20,0.6980554778107215,0.6980554778107215,0.0,0.026966911175061115
