mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,overfitting_gap
107.11731266975403,0.0,1.18855881690979,0.0,0.01,"(128, 32)",0.01,tanh,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (128, 32), 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.931161324224908,0.931161324224908,0.0,10,0.9455279406671364,0.9455279406671364,0.0,0.7297671830301022,0.7297671830301022,0.0,5,0.7782646531544928,0.7782646531544928,0.0,0.7842440085160854,0.7842440085160854,0.0,8,0.8493131112133219,0.8493131112133219,0.0,0.7088951878428322,0.7088951878428322,0.0,6,0.7580131197898977,0.7580131197898977,0.0,0.04849747012439054
351.5448226928711,0.0,1.088176965713501,0.0,0.0001,"(128, 32)",0.0001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 32), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.9348397267472413,0.9348397267472413,0.0,6,0.945026334332565,0.945026334332565,0.0,0.7157266829092295,0.7157266829092295,0.0,13,0.7573660330166307,0.7573660330166307,0.0,0.744027136771765,0.744027136771765,0.0,14,0.8457481696955705,0.8457481696955705,0.0,0.6954722959843304,0.6954722959843304,0.0,19,0.7337315434945599,0.7337315434945599,0.0,0.041639350107401274
423.9365224838257,0.0,1.092067003250122,0.0,0.0001,"(128, 64)",0.01,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.9376104715043233,0.9376104715043233,0.0,1,0.9476179670611841,0.9476179670611841,0.0,0.7383070107711648,0.7383070107711648,0.0,1,0.7765147681851353,0.7765147681851353,0.0,0.8195568210546208,0.8195568210546208,0.0,5,0.874810618910254,0.874810618910254,0.0,0.7154345293958392,0.7154345293958392,0.0,2,0.7498730306776814,0.7498730306776814,0.0,0.03820775741397053
171.50246930122375,0.0,0.9913830757141113,0.0,0.01,"(128, 32)",0.01,relu,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (128, 32), 'clf__alpha': 0.01, 'clf__activation': 'relu'}",0.9324989251421201,0.9324989251421201,0.0,8,0.9513800145704697,0.9513800145704697,0.0,0.730443028417219,0.730443028417219,0.0,4,0.7974514470428871,0.7974514470428871,0.0,0.807410182907937,0.807410182907937,0.0,6,0.8761654996308625,0.8761654996308625,0.0,0.7116558311215129,0.7116558311215129,0.0,4,0.7811045319821593,0.7811045319821593,0.0,0.06700841862566809
233.2906994819641,0.0,1.264270544052124,0.0,0.01,"(64, 32)",0.001,relu,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (64, 32), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.9270052070892849,0.9270052070892849,0.0,14,0.9553809222390751,0.9553809222390751,0.0,0.7141716353104264,0.7141716353104264,0.0,16,0.8275700087213999,0.8275700087213999,0.0,0.7397509688887495,0.7397509688887495,0.0,16,0.8628270058068116,0.8628270058068116,0.0,0.6985754674669991,0.6985754674669991,0.0,14,0.8109653362714649,0.8109653362714649,0.0,0.11339837341097347
222.32626342773438,0.0,1.310318946838379,0.0,0.01,"(64, 32)",0.0001,relu,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (64, 32), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.9258109205560598,0.9258109205560598,0.0,17,0.9570648863622792,0.9570648863622792,0.0,0.7038916254462846,0.7038916254462846,0.0,23,0.8143863502370827,0.8143863502370827,0.0,0.7670523805820506,0.7670523805820506,0.0,10,0.8948418649058537,0.8948418649058537,0.0,0.6802802571215897,0.6802802571215897,0.0,25,0.780949633130021,0.780949633130021,0.0,0.11049472479079814
198.36099481582642,0.0,1.1972620487213135,0.0,0.01,"(128, 64)",0.0001,tanh,"{'clf__learning_rate_init': 0.01, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.9270052070892849,0.9270052070892849,0.0,14,0.9696886457823267,0.9696886457823267,0.0,0.7063118104261361,0.7063118104261361,0.0,20,0.8761704607049048,0.8761704607049048,0.0,0.74699859771828,0.74699859771828,0.0,13,0.9279314415563518,0.9279314415563518,0.0,0.6835720194603795,0.6835720194603795,0.0,24,0.8513760818151669,0.8513760818151669,0.0,0.16985865027876867
366.26880741119385,0.0,1.1384902000427246,0.0,0.0001,"(128, 32)",0.001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 32), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.9350308125925572,0.9350308125925572,0.0,5,0.9449427332768031,0.9449427332768031,0.0,0.722143148528205,0.722143148528205,0.0,9,0.7573944133142598,0.7573944133142598,0.0,0.8451077314642241,0.8451077314642241,0.0,2,0.8533012203744919,0.8533012203744919,0.0,0.6992224455466223,0.6992224455466223,0.0,12,0.7334922162640171,0.7334922162640171,0.0,0.03525126478605478
264.6997323036194,0.0,1.0884335041046143,0.0,0.0001,"(64, 32)",0.01,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64, 32), 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.9351741269765442,0.9351741269765442,0.0,4,0.9414553749507351,0.9414553749507351,0.0,0.7295927601827542,0.7295927601827542,0.0,6,0.7479835573474811,0.7479835573474811,0.0,0.845303546851898,0.845303546851898,0.0,1,0.8467160214454618,0.8467160214454618,0.0,0.7002965110273638,0.7002965110273638,0.0,10,0.7212832727439354,0.7212832727439354,0.0,0.018390797164726913
429.75125432014465,0.0,1.1994962692260742,0.0,0.0001,"(128, 64)",0.0001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.9373238427363493,0.9373238427363493,0.0,2,0.9497438224791296,0.9497438224791296,0.0,0.7378846907013659,0.7378846907013659,0.0,2,0.7889091764625671,0.7889091764625671,0.0,0.7998198654511487,0.7998198654511487,0.0,7,0.8765985170047502,0.8765985170047502,0.0,0.7170844734436328,0.7170844734436328,0.0,1,0.761126366803518,0.761126366803518,0.0,0.05102448576120122
